:2
+:1
10V:3
3V3:5
BATT:1
C1:1
C10:1
C11:1
C12:1
C14:1
C15:1
C16:1
C17:1
C19:1
C2:1
C20:1
C22:1
C23:1
C24:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C34:1
C35:1
C4:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C6:1
C7:1
C8:1
C9:1
D10:1
D11:1
D4:1
D7:1
FB2:1
GND:3
J1:1
J2:1
J3:1
J?:1
L1:1
L2:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
R10:1
R11:1
R14:1
R15:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R24:1
R25:1
R26:1
R27:1
R28:1
R3:1
R31:1
R32:1
R34:1
R35:1
R36:1
R37:1
R39:1
R4:1
R40:1
R42:1
R43:1
R44:1
R5:1
R8:1
R9:1
SHUNT1:1
SHUNT2:1
SHUNT3:1
U1:1
U11:1
U2:1
U3:1
U4:1
U5:1
U6:1
U8:1
U9:1
V1:1
W1:1
Y1:1
